Nombre;Apellido;Bloque;desde;hasta
Carlos Sebastián ;Assán;Justicialista de Todos;2019;2013
Walter Fabián ;Berarducci;PJS - Recuperemos Tucumán;2019;2013
Eduardo Alberto;Bourle;Lealtad Peronista;2019;2013
Ricardo Argentino ;Bussi;Fuerza Republicana;2019;2013
José María ;Canelada;Unión Cívica Radical;2019;2013
Tulio Enrique ;Caponio;Justicialista de Todos;2019;2013
Armando Roque ;Cortalezzi;Justicialista de Todos;2019;2013
Víctor Daniel;Deiana;Justicialista de Todos;2019;2013
Dante;Rolando Loza;Justicialista de Todos;2019;2013
Federico;Augusto Masso;Libres del Sur;2019;2013
Mario;Javier Morof;Justicialista de Todos;2019;2013
Sandra del Valle;Orquera;Fuerza Republicana;2019;2013
Nádima del Valle;Pecci;Fuerza Republicana;2019;2013
Raúl César ;Pellegrini;PJS - Recuperemos Tucumán;2019;2013
Edgar Reneé ;Ramírez;Justicialista de Todos;2019;2013
Paulo Gabriel ;Ternavasio;Fuerza Republicana;2019;2013
Sandra Marcela ;Tirado;Justicialista de Todos;2019;2013
Gerónimo ;Vargas Aignasse;Justicialista de Todos;2019;2013
José Horacio ;Vermal;Fuerza Republicana;2019;2013
Pablo Agustín ;Alfaro;Justicialista de Todos;2019;2013
Enrique Fabián ;Bethencourt;Justicialista de Todos;2019;2013
Eduardo Alberto ;Cobos;Justicialista de Todos;2019;2013
Paula Luján ;Galván;Justicialista de Todos;2019;2013
Carlos Francisco;Gómez;Justicialista de Todos;2019;2013
Graciela del Valle;Gutiérrez;Justicialista de Todos;2019;2013
Daniel Alberto ;Herrera;Justicialista de Todos;2019;2013
Mario Gerardo ;Huesen;Fuerza Republicana;2019;2013
Zacarías ;Khoder;Justicialista de Todos;2019;2013
Jorge Abraham;Leal;Justicialista de Todos;2019;2013
Gonzalo Darío  ;Monteros;Justicialista de Todos;2019;2013
Julio Fabio ;Silman;Hacemos Tucumán;2019;2013
Raúl Eduardo ;Albarracín;PJS - Recuperemos Tucumán;2019;2013
Sara ;Alperovich;Hacemos Tucumán;2019;2013
Roque Tobías ;Álvarez;Justicialista de Todos;2019;2013
Néstor Regino ;Amado;Justicialista de Todos;2019;2013
José Ricardo ;Ascárate;UCR - Hipólito Yrigoyen;2019;2013
Mario César ;Casali;Fuerza Republicana;2019;2013
Raúl Ezequiel;Ferrazzano;Justicialista de Todos;2019;2013
Sergio Francisco ;Mansilla;Justicialista de Todos;2019;2013
Sandra Mabriela ;Mendoza;Justicialista de Todos;2019;2013
Osvaldo Rubén ;Morelli;Justicialista de Todos;2019;2013
Adriana Del Valle;Najar;Justicialista de Todos;2019;2013
Marta Isabel ;Najar;Justicialista de Todos;2019;2013
Juan Enrique ;Orellana;Justicialista de Todos;2019;2013
Roberto  Arnaldo ;Palina;Justicialista de Todos;2019;2013
Norma Mariela ;Reyes;Justicialista de Todos;2019;2013
Juan Roberto ;Rojas;Fuerza Republicana;2019;2013
Juan Antonio ;Ruíz;Justicialista de Todos;2019;2013
Manuel Jorge ;Yapura;Justicialista de Todos;2019;2013
